faction,name,ecs,lsd,xan,total,overdose,rate
Main,Police,50,2135,18,2464,129,19
Main,Gustavo7788,34,6,3167,3302,62,53
Main,Seraxxx,53,4,2459,2518,51,49
Main,greenpea,60,4,1365,1441,32,45
Main,Vikala,62,0,1824,1889,39,48
Main,Due,51,51,1295,1755,35,50
Main,wilanwill,61,50,1821,2262,40,56
Main,WangDaMiao,57,51,2098,2292,61,37
Main,Sephiroth505,50,15,721,787,14,56
Main,Microdust,79,50,2736,3167,60,52
Main,Zun,50,50,2516,2995,61,49
Main,birdinpal,66,50,1266,1733,34,50
Main,gaokakashi,51,51,1064,1411,21,67
Main,Frozen0,54,0,1305,1389,24,57
Main,DuangDuang,64,0,770,860,9,95
Main,lemmmon,69,27,1834,1978,30,65
Main,kingdog,23,1,625,655,12,54
Main,automata,92,36,1665,1794,48,37
Main,duckknight019,50,0,2001,2096,47,44
Main,CrispX,108,7,1574,1766,46,38
Main,ElementWN,53,50,389,793,9,88
Main,da32s1da,115,0,1078,1233,27,45
Main,WOOHOO,110,23,1667,1974,39,50
Main,jackerp,520,1,525,1098,36,30
Main,MUGOU,7,0,725,732,14,52
Main,kuner,13,0,1000,1013,17,59
Main,MaggieDoctor,53,463,6,525,36,14
Main,Aimeeee,55,16,1699,1836,32,57
Main,Sabrina_Devil,43,0,516,562,8,70
Main,Maojm,17,0,1790,1807,35,51
Main,Berial,50,0,1113,1164,20,58
Main,FaFaFa,59,0,1653,1890,34,55
Main,Madlife77,80,4,1803,1935,35,55
Main,Apocaliar,77,0,362,439,15,29
Main,kamisamatoyobe,52,0,1081,1133,19,59
Main,onceinawhile,40,0,1297,1340,28,47
Main,xtwell,20,0,90,112,2,56
Main,_NSHX,13,0,603,667,10,66
Main,yuki2022,162,0,320,483,10,48
Main,TNTKaen,44,0,718,763,17,44
Main,DRXINH,56,0,453,511,13,39
Main,scp294,17,0,438,463,4,115
Tri,Kalash,15,1,22,163,5,32
Tri,saraly,2,109,115,253,4,63
Tri,Chronicburn,82,1,536,622,12,51
Tri,S_seal,10,0,1275,1288,25,51
Tri,lzlaogan,53,3,593,768,20,38
Tri,Nicedude,50,50,2002,2106,41,51
Tri,sWiSs_ChEeSe,34,9,526,699,16,43
Tri,mainpowers,134,50,556,741,21,35
Tri,moring,60,1,746,810,20,40
Tri,xiangzai,12,4,518,542,14,38
Tri,Elboer,611,186,443,1242,39,31
Tri,Qeapurr,52,59,669,983,23,42
Tri,MANGOKING,195,3,794,1068,26,41
Tri,Rodie407,58,0,1395,1457,32,45
Tri,EliGreen,64,0,363,442,7,63
Tri,viperasi1981,51,0,826,877,16,54
Tri,huweijun,57,50,2478,2710,60,45
Tri,Tzealot,50,308,585,1245,39,31
Tri,Trefor,57,0,1052,1109,21,52
Tri,DuncanLi,26,450,45,524,24,21
Tri,CoryDart,162,0,1,163,4,40
Tri,TssN_Vympel,72,0,828,901,19,47
Tri,DrDave28,392,1,51,448,14,32
Tri,StarChen,7,446,35,489,13,37
Tri,RyneX,42,117,426,831,21,39
Tri,Dageniubi,62,1,1914,2121,31,68
Tri,gaxilu99,99,0,1652,1751,38,46
Tri,Binco_Yan,263,0,1333,1600,31,51
Tri,BlackBean,27,0,883,910,20,45
Tri,fimoam,828,82,27,953,26,36
Tri,kokodayo,284,0,15,299,10,29
Tri,mash_kyrielight,154,0,1293,1448,29,49
Tri,yyf43,21,3,38,63,1,63
Tri,jesseyeh,52,0,607,670,10,67
Tri,siriusssss,44,0,68,113,1,113
Tri,Amadeuska,120,4,777,902,18,50
Tri,TRSkyFox,58,50,764,938,20,46
Tri,MoWeei,1070,1,123,1197,45,26
Tri,KujoJotaro,63,1,1123,1220,28,43
Tri,moses,40,1,88,129,5,25
Tri,CatNiNi,200,0,1055,1255,43,29
Tri,-VALAC-,1,0,105,106,3,35
Tri,novilol,420,0,0,424,12,35
Tri,Asland,163,0,485,649,16,40
Tri,xmbtx,67,53,27,704,15,46
Tri,woniu0728,109,4,199,318,12,26
Tri,BADASSZ,75,0,1030,1171,19,61
Tri,tanrj052,52,0,961,1013,24,42
Tri,D-ong,43,50,537,977,15,65
Tri,MiaoMiaoChao,77,0,803,880,17,51
Tri,Ulysses,54,50,1307,1476,34,43
Tri,KimiRaikkonen,61,0,776,844,20,42
Tri,xingyou,13,0,599,612,9,68
Tri,Winter4th,178,1,54,289,7,41
Tri,MyPasswordis123,24,0,224,264,5,52
Tri,Cokeice,18,3,423,445,6,74
Tri,LateSummer,30,0,341,375,7,53
Tri,amaoamao,43,0,340,383,4,95
